freq,size_emp,cost,unit,geo\TIME_PERIOD	2005 	2010 	2015 	2020 
A,50-249,DIR,EUR,DE	190 	237 b	241 	181 
A,50-249,DIR,EUR,DK	851 u	321 b	324 	203 
A,50-249,DIR,EUR,EE	97 	86 b	122 	111 
A,50-249,DIR,EUR,EL	52 	36 b	69 	29 
A,50-249,DIR,EUR,ES	110 	138 b	169 	143 
A,50-249,DIR,EUR,EU27_2020	174 	206 	192 	162 
A,50-249,DIR,EUR,EU28	186 	204 b	200 	: 
A,50-249,DIR,EUR,FI	258 	252 b	279 	137 
A,50-249,DIR,EUR,FR	243 	320 	141 	158 
A,50-249,DIR,EUR,HR	: 	176 	113 	59 
A,50-249,DIR,EUR,HU	63 	72 b	52 	56 b
A,50-249,DIR,EUR,IE	552 	: 	356 	163 
A,50-249,DIR,EUR,IT	130 	123 	164 	219 
A,50-249,DIR,EUR,LT	26 	45 b	65 	52 
A,50-249,DIR,EUR,LU	386 	398 b	627 	307 
A,50-249,DIR,EUR,LV	: 	30 	48 	38 
A,50-249,DIR,EUR,MK	: 	: 	69 	33 
A,50-249,DIR,EUR,MT	128 	172 b	264 	115 
A,50-249,DIR,EUR,NL	343 u	366 b	477 	460 
A,50-249,DIR,EUR,NO	362 	419 	457 	458 
A,50-249,DIR,EUR,PL	45 	47 b	51 	32 
A,50-249,DIR,EUR,PT	82 	187 b	83 	51 
A,50-249,DIR,EUR,RO	16 	: 	20 	19 
A,50-249,DIR,EUR,RS	: 	: 	: 	34 
A,50-249,DIR,EUR,SE	450 	498 b	490 b	370 b
A,50-249,DIR,EUR,SI	194 	199 b	197 	296 
A,50-249,DIR,EUR,SK	50 	125 b	106 	108 
A,50-249,DIR,EUR,UK	264 	191 b	252 	: 
A,50-249,DIR,PPS,AT	291 	337 b	278 	: 
A,50-249,DIR,PPS,BE	166 	304 	384 	: 
A,50-249,DIR,PPS,BG	50 	67 b	102 	: 
A,50-249,DIR,PPS,CY	168 	146 	90 	: 
A,50-249,DIR,PPS,CZ	130 	136 b	173 bd	: 
A,50-249,DIR,PPS,DE	185 	225 b	233 	: 
A,50-249,DIR,PPS,DK	629 u	241 b	249 	: 
A,50-249,DIR,PPS,EE	164 	128 b	170 	: 
A,50-249,DIR,PPS,EL	63 	38 b	85 	: 
A,50-249,DIR,PPS,ES	121 	145 b	191 	: 
A,50-249,DIR,PPS,EU27_2020	180 	208 	201 	: 
A,50-249,DIR,PPS,EU28	186 	204 b	200 	: 
A,50-249,DIR,PPS,FI	224 	214 b	231 	: 
A,50-249,DIR,PPS,FR	225 	286 	131 	: 
A,50-249,DIR,PPS,HR	: 	253 	185 	: 
A,50-249,DIR,PPS,HU	101 	120 b	91 	: 
A,50-249,DIR,PPS,IE	464 	: 	330 	: 
A,50-249,DIR,PPS,IT	129 	121 	166 	: 
A,50-249,DIR,PPS,LT	50 	77 b	109 	: 
A,50-249,DIR,PPS,LU	346 	329 b	534 	: 
A,50-249,DIR,PPS,LV	: 	48 	72 	: 
A,50-249,DIR,PPS,MK	: 	: 	165 	: 
A,50-249,DIR,PPS,MT	190 	231 b	331 	: 
A,50-249,DIR,PPS,NL	325 u	328 b	443 	: 
A,50-249,DIR,PPS,NO	274 	280 	309 	: 
A,50-249,DIR,PPS,PL	83 	80 b	91 	: 
A,50-249,DIR,PPS,PT	105 	229 b	107 	: 
A,50-249,DIR,PPS,RO	36 	: 	41 	: 
A,50-249,DIR,PPS,SE	375 	403 b	389 b	: 
A,50-249,DIR,PPS,SI	270 	239 b	249 	: 
A,50-249,DIR,PPS,SK	75 	190 b	162 	: 
A,50-249,DIR,PPS,UK	217 	179 b	199 	: 
A,50-249,DIR,PPS_EU27_2020,AT	280 	333 b	266 	183 
A,50-249,DIR,PPS_EU27_2020,BE	160 	301 	367 	254 
A,50-249,DIR,PPS_EU27_2020,BG	48 	66 b	98 	37 
A,50-249,DIR,PPS_EU27_2020,CY	161 	144 	86 	167 
A,50-249,DIR,PPS_EU27_2020,CZ	125 	135 b	166 bd	109 b
A,50-249,DIR,PPS_EU27_2020,DE	179 	223 b	222 	163 
A,50-249,DIR,PPS_EU27_2020,DK	606 u	239 b	238 	153 
A,50-249,DIR,PPS_EU27_2020,EE	158 	127 b	163 	138 
A,50-249,DIR,PPS_EU27_2020,EL	60 	38 b	81 	35 
A,50-249,DIR,PPS_EU27_2020,ES	117 	144 b	183 	152 
A,50-249,DIR,PPS_EU27_2020,EU27_2020	174 	206 	192 	162 
A,50-249,DIR,PPS_EU27_2020,EU28	180 	202 b	191 	: 
A,50-249,DIR,PPS_EU27_2020,FI	215 	212 b	221 	108 
A,50-249,DIR,PPS_EU27_2020,FR	217 	283 	126 	145 
A,50-249,DIR,PPS_EU27_2020,HR	: 	250 	177 	91 
A,50-249,DIR,PPS_EU27_2020,HU	97 	118 b	87 	88 b
A,50-249,DIR,PPS_EU27_2020,IE	447 	: 	316 	136 
A,50-249,DIR,PPS_EU27_2020,IT	124 	120 	159 	221 
A,50-249,DIR,PPS_EU27_2020,LT	48 	76 b	105 	77 
A,50-249,DIR,PPS_EU27_2020,LU	334 	325 b	511 	237 
A,50-249,DIR,PPS_EU27_2020,LV	: 	47 	69 	52 
A,50-249,DIR,PPS_EU27_2020,MK	: 	: 	158 	71 
A,50-249,DIR,PPS_EU27_2020,MT	183 	228 b	316 	131 
A,50-249,DIR,PPS_EU27_2020,NL	313 u	324 b	424 	397 
A,50-249,DIR,PPS_EU27_2020,NO	264 	277 	296 	324 
A,50-249,DIR,PPS_EU27_2020,PL	80 	79 b	87 	54 
A,50-249,DIR,PPS_EU27_2020,PT	101 	227 b	102 	60 
A,50-249,DIR,PPS_EU27_2020,RO	35 	: 	39 	36 
A,50-249,DIR,PPS_EU27_2020,RS	: 	: 	: 	64 
A,50-249,DIR,PPS_EU27_2020,SE	361 	399 b	372 b	296 b
A,50-249,DIR,PPS_EU27_2020,SI	260 	237 b	238 	352 
A,50-249,DIR,PPS_EU27_2020,SK	72 	188 b	155 	134 
A,50-249,DIR,PPS_EU27_2020,UK	209 	177 b	190 	: 
A,50-249,LCP,EUR,AT	219 	393 	346 	300 
A,50-249,LCP,EUR,BE	351 	688 	984 	415 
A,50-249,LCP,EUR,BG	9 	18 	49 	40 
A,50-249,LCP,EUR,CY	92 	132 	122 	85 
A,50-249,LCP,EUR,CZ	92 	77 	126 bd	113 b
A,50-249,LCP,EUR,DE	205 	233 	195 	213 
A,50-249,LCP,EUR,DK	559 	661 	541 	521 
A,50-249,LCP,EUR,EE	52 	70 	174 	222 
A,50-249,LCP,EUR,EL	69 	32 	57 	51 
A,50-249,LCP,EUR,ES	127 	199 	275 	113 
A,50-249,LCP,EUR,EU27_2020	174 	222 	235 	225 
A,50-249,LCP,EUR,EU28	164 	213 	220 	: 
A,50-249,LCP,EUR,FI	225 	227 	235 	193 
A,50-249,LCP,EUR,FR	283 	275 	366 	340 
A,50-249,LCP,EUR,HR	: 	76 	156 	89 
A,50-249,LCP,EUR,HU	40 	30 	22 	28 b
A,50-249,LCP,EUR,IE	245 	: 	416 	665 
A,50-249,LCP,EUR,IT	160 	200 	255 	335 
A,50-249,LCP,EUR,LT	19 	48 	38 	75 
A,50-249,LCP,EUR,LU	315 	509 	633 	602 
A,50-249,LCP,EUR,LV	: 	26 	50 	46 
A,50-249,LCP,EUR,MK	: 	: 	19 	14 
A,50-249,LCP,EUR,MT	66 	88 	170 	110 
A,50-249,LCP,EUR,NL	282 	360 	347 	372 
A,50-249,LCP,EUR,NO	357 	821 	477 	531 
A,50-249,LCP,EUR,PL	33 	37 	37 	38 
A,50-249,LCP,EUR,PT	108 	278 	146 	151 
A,50-249,LCP,EUR,RO	8 	: 	33 	36 
A,50-249,LCP,EUR,RS	: 	: 	: 	39 
A,50-249,LCP,EUR,SE	386 	357 	432 b	402 b
A,50-249,LCP,EUR,SI	156 	299 	440 	212 
A,50-249,LCP,EUR,SK	42 	130 	105 	121 
A,50-249,LCP,EUR,UK	105 	134 	121 	: 
A,50-249,LCP,PPS,AT	211 	357 	326 	: 
A,50-249,LCP,PPS,BE	334 	629 	924 	: 
A,50-249,LCP,PPS,BG	25 	40 	105 	: 
A,50-249,LCP,PPS,CY	108 	144 	138 	: 
A,50-249,LCP,PPS,CZ	160 	108 	199 bd	: 
A,50-249,LCP,PPS,DE	200 	221 	188 	: 
A,50-249,LCP,PPS,DK	413 	496 	415 	: 
A,50-249,LCP,PPS,EE	87 	105 	243 	: 
A,50-249,LCP,PPS,EL	82 	34 	70 	: 
A,50-249,LCP,PPS,ES	140 	209 	311 	: 
A,50-249,LCP,PPS,EU27_2020	181 	225 	246 	: 
A,50-249,LCP,PPS,EU28	164 	213 	220 	: 
A,50-249,LCP,PPS,FI	195 	193 	195 	: 
A,50-249,LCP,PPS,FR	263 	246 	340 	: 
A,50-249,LCP,PPS,HR	: 	109 	255 	: 
A,50-249,LCP,PPS,HU	65 	50 	39 	: 
A,50-249,LCP,PPS,IE	206 	: 	386 	: 
A,50-249,LCP,PPS,IT	159 	198 	260 	: 
A,50-249,LCP,PPS,LT	37 	82 	64 	: 
A,50-249,LCP,PPS,LU	283 	421 	540 	: 
A,50-249,LCP,PPS,LV	: 	42 	76 	: 
A,50-249,LCP,PPS,MK	: 	: 	44 	: 
A,50-249,LCP,PPS,MT	98 	117 	212 	: 
A,50-249,LCP,PPS,NL	267 	322 	322 	: 
A,50-249,LCP,PPS,NO	270 	549 	323 	: 
A,50-249,LCP,PPS,PL	60 	62 	65 	: 
A,50-249,LCP,PPS,PT	138 	341 	188 	: 
A,50-249,LCP,PPS,RO	18 	: 	66 	: 
A,50-249,LCP,PPS,SE	322 	289 	343 b	: 
A,50-249,LCP,PPS,SI	218 	359 	555 	: 
A,50-249,LCP,PPS,SK	63 	199 	160 	: 
A,50-249,LCP,PPS,UK	86 	126 	95 	: 
A,50-249,LCP,PPS_EU27_2020,AT	203 	354 	311 	262 
A,50-249,LCP,PPS_EU27_2020,BE	322 	622 	884 	372 
A,50-249,LCP,PPS_EU27_2020,BG	24 	40 	101 	74 
A,50-249,LCP,PPS_EU27_2020,CY	104 	142 	132 	93 
A,50-249,LCP,PPS_EU27_2020,CZ	154 	107 	190 bd	156 b
A,50-249,LCP,PPS_EU27_2020,DE	193 	219 	180 	193 
A,50-249,LCP,PPS_EU27_2020,DK	398 	491 	397 	392 
A,50-249,LCP,PPS_EU27_2020,EE	84 	104 	233 	277 
A,50-249,LCP,PPS_EU27_2020,EL	79 	34 	67 	61 
A,50-249,LCP,PPS_EU27_2020,ES	135 	207 	297 	120 
A,50-249,LCP,PPS_EU27_2020,EU27_2020	174 	222 	235 	225 
A,50-249,LCP,PPS_EU27_2020,EU28	158 	210 	211 	: 
A,50-249,LCP,PPS_EU27_2020,FI	188 	191 	187 	152 
A,50-249,LCP,PPS_EU27_2020,FR	253 	244 	326 	312 
A,50-249,LCP,PPS_EU27_2020,HR	: 	108 	244 	139 
A,50-249,LCP,PPS_EU27_2020,HU	62 	50 	38 	45 b
A,50-249,LCP,PPS_EU27_2020,IE	198 	: 	369 	555 
A,50-249,LCP,PPS_EU27_2020,IT	154 	196 	248 	337 
A,50-249,LCP,PPS_EU27_2020,LT	36 	81 	61 	110 
A,50-249,LCP,PPS_EU27_2020,LU	273 	416 	517 	466 
A,50-249,LCP,PPS_EU27_2020,LV	: 	41 	72 	62 
A,50-249,LCP,PPS_EU27_2020,MK	: 	: 	43 	31 
A,50-249,LCP,PPS_EU27_2020,MT	94 	116 	203 	125 
A,50-249,LCP,PPS_EU27_2020,NL	257 	319 	308 	321 
A,50-249,LCP,PPS_EU27_2020,NO	260 	543 	309 	376 
A,50-249,LCP,PPS_EU27_2020,PL	58 	61 	62 	63 
A,50-249,LCP,PPS_EU27_2020,PT	133 	338 	180 	177 
A,50-249,LCP,PPS_EU27_2020,RO	17 	: 	63 	69 
A,50-249,LCP,PPS_EU27_2020,RS	: 	: 	: 	74 
A,50-249,LCP,PPS_EU27_2020,SE	310 	286 	328 b	322 b
A,50-249,LCP,PPS_EU27_2020,SI	210 	355 	531 	253 
A,50-249,LCP,PPS_EU27_2020,SK	61 	196 	153 	150 
A,50-249,LCP,PPS_EU27_2020,UK	83 	124 	91 	: 
A,50-249,NET,EUR,AT	-35 	-21 b	-1 	18 
A,50-249,NET,EUR,BE	35 	33 	50 	2 
A,50-249,NET,EUR,BG	0 	0 b	-1 	0 
A,50-249,NET,EUR,CY	64 	72 	65 	-2 
A,50-249,NET,EUR,CZ	-1 	-17 b	-20 bd	-47 b
A,50-249,NET,EUR,DE	1 	0 b	-1 	-2 
A,50-249,NET,EUR,DK	9 u	7 b	33 	16 
A,50-249,NET,EUR,EE	-5 	-8 b	-2 	-1 
A,50-249,NET,EUR,EL	-10 	62 b	67 	0 
A,50-249,NET,EUR,ES	43 	116 b	103 	-20 
A,50-249,NET,EUR,EU27_2020	41 	50 	58 	48 
A,50-249,NET,EUR,EU28	42 	44 b	52 	: 
A,50-249,NET,EUR,FI	1 	0 b	-24 	-8 
A,50-249,NET,EUR,FR	274 	272 	359 	316 
A,50-249,NET,EUR,HR	: 	-15 	-3 	-7 
A,50-249,NET,EUR,HU	25 	83 b	78 	156 b
A,50-249,NET,EUR,IE	2 	: 	10 	30 
A,50-249,NET,EUR,IT	62 	48 	59 	64 
A,50-249,NET,EUR,LT	0 	-15 b	-2 	-7 
A,50-249,NET,EUR,LU	-7 	-52 b	-89 	-49 
A,50-249,NET,EUR,LV	: 	-1 	-1 	0 
A,50-249,NET,EUR,MK	: 	: 	2 	0 
A,50-249,NET,EUR,MT	0 	4 b	18 	1 
A,50-249,NET,EUR,NL	-147 u	22 b	16 	13 
A,50-249,NET,EUR,NO	4 	-4 	-29 	-33 
A,50-249,NET,EUR,PL	0 	-9 b	-1 	0 
A,50-249,NET,EUR,PT	-8 	-33 b	1 	-1 
A,50-249,NET,EUR,RO	0 	: 	0 	0 
A,50-249,NET,EUR,RS	: 	: 	: 	-1 
A,50-249,NET,EUR,SE	-17 	-17 b	-2 b	-19 b
A,50-249,NET,EUR,SI	-4 	-35 b	-5 	-11 
A,50-249,NET,EUR,SK	1 	-18 b	0 	-8 
A,50-249,NET,EUR,UK	45 	-11 b	10 	: 
A,50-249,NET,PPS,AT	-34 	-19 b	-1 	: 
A,50-249,NET,PPS,BE	33 	30 	47 	: 
A,50-249,NET,PPS,BG	0 	1 b	-3 	: 
A,50-249,NET,PPS,CY	75 	79 	74 	: 
A,50-249,NET,PPS,CZ	-1 	-24 b	-32 bd	: 
A,50-249,NET,PPS,DE	1 	0 b	-1 	: 
A,50-249,NET,PPS,DK	7 u	5 b	25 	: 
A,50-249,NET,PPS,EE	-9 	-11 b	-3 	: 
A,50-249,NET,PPS,EL	-12 	65 b	83 	: 
A,50-249,NET,PPS,ES	48 	122 b	117 	: 
A,50-249,NET,PPS,EU27_2020	43 	51 	60 	: 
A,50-249,NET,PPS,EU28	42 	44 b	52 	: 
A,50-249,NET,PPS,FI	1 	0 b	-20 	: 
A,50-249,NET,PPS,FR	254 	244 	334 	: 
A,50-249,NET,PPS,HR	: 	-22 	-5 	: 
A,50-249,NET,PPS,HU	41 	139 b	136 	: 
A,50-249,NET,PPS,IE	2 	: 	9 	: 
A,50-249,NET,PPS,IT	62 	47 	60 	: 
A,50-249,NET,PPS,LT	0 	-25 b	-4 	: 
A,50-249,NET,PPS,LU	-6 	-43 b	-76 	: 
A,50-249,NET,PPS,LV	: 	-2 	-2 	: 
A,50-249,NET,PPS,MK	: 	: 	4 	: 
A,50-249,NET,PPS,MT	0 	6 b	22 	: 
A,50-249,NET,PPS,NL	-139 u	19 b	15 	: 
A,50-249,NET,PPS,NO	3 	-3 	-19 	: 
A,50-249,NET,PPS,PL	0 	-15 b	-3 	: 
A,50-249,NET,PPS,PT	-10 	-41 b	1 	: 
A,50-249,NET,PPS,RO	0 	: 	0 	: 
A,50-249,NET,PPS,SE	-14 	-14 b	-1 b	: 
A,50-249,NET,PPS,SI	-6 	-41 b	-7 	: 
A,50-249,NET,PPS,SK	1 	-27 b	0 	: 
A,50-249,NET,PPS,UK	37 	-10 b	8 	: 
A,50-249,NET,PPS_EU27_2020,AT	-33 	-19 b	-1 	16 
A,50-249,NET,PPS_EU27_2020,BE	32 	30 	45 	2 
A,50-249,NET,PPS_EU27_2020,BG	0 	1 b	-3 	0 
A,50-249,NET,PPS_EU27_2020,CY	72 	78 	71 	-2 
A,50-249,NET,PPS_EU27_2020,CZ	-1 	-24 b	-31 bd	-66 b
A,50-249,NET,PPS_EU27_2020,DE	1 	0 b	-1 	-2 
A,50-249,NET,PPS_EU27_2020,DK	7 u	5 b	24 	12 
A,50-249,NET,PPS_EU27_2020,EE	-8 	-11 b	-3 	-1 
A,50-249,NET,PPS_EU27_2020,EL	-12 	65 b	79 	0 
A,50-249,NET,PPS_EU27_2020,ES	46 	121 b	112 	-22 
A,50-249,NET,PPS_EU27_2020,EU27_2020	41 	50 	58 	48 
A,50-249,NET,PPS_EU27_2020,EU28	40 	43 b	49 	: 
A,50-249,NET,PPS_EU27_2020,FI	1 	0 b	-19 	-6 
A,50-249,NET,PPS_EU27_2020,FR	245 	241 	320 	290 
A,50-249,NET,PPS_EU27_2020,HR	: 	-22 	-5 	-10 
A,50-249,NET,PPS_EU27_2020,HU	39 	137 b	130 	246 b
A,50-249,NET,PPS_EU27_2020,IE	2 	: 	9 	25 
A,50-249,NET,PPS_EU27_2020,IT	60 	47 	57 	65 
A,50-249,NET,PPS_EU27_2020,LT	0 	-25 b	-4 	-10 
A,50-249,NET,PPS_EU27_2020,LU	-6 	-42 b	-73 	-38 
A,50-249,NET,PPS_EU27_2020,LV	: 	-2 	-2 	0 
A,50-249,NET,PPS_EU27_2020,MK	: 	: 	4 	0 
A,50-249,NET,PPS_EU27_2020,MT	0 	6 b	21 	1 
A,50-249,NET,PPS_EU27_2020,NL	-134 u	19 b	14 	12 
A,50-249,NET,PPS_EU27_2020,NO	3 	-3 	-19 	-23 
A,50-249,NET,PPS_EU27_2020,PL	0 	-15 b	-2 	0 
A,50-249,NET,PPS_EU27_2020,PT	-10 	-41 b	1 	-1 
A,50-249,NET,PPS_EU27_2020,RO	0 	: 	0 	0 
A,50-249,NET,PPS_EU27_2020,RS	: 	: 	: 	-1 
A,50-249,NET,PPS_EU27_2020,SE	-13 	-14 b	-1 b	-15 b
A,50-249,NET,PPS_EU27_2020,SI	-5 	-41 b	-7 	-13 
A,50-249,NET,PPS_EU27_2020,SK	1 	-27 b	0 	-10 
A,50-249,NET,PPS_EU27_2020,UK	36 	-10 b	7 	: 
A,50-249,TOTAL,EUR,AT	485 	743 b	640 	527 
A,50-249,TOTAL,EUR,BE	560 	1054 	1442 	701 
A,50-249,TOTAL,EUR,BG	27 	49 b	94 	60 
A,50-249,TOTAL,EUR,CY	298 	337 	267 	236 
A,50-249,TOTAL,EUR,CZ	167 	156 b	215 bd	144 b
A,50-249,TOTAL,EUR,DE	397 	470 b	435 	392 
A,50-249,TOTAL,EUR,DK	1419 u	989 b	898 	741 
A,50-249,TOTAL,EUR,EE	143 	149 b	294 	332 
A,50-249,TOTAL,EUR,EL	111 	130 b	193 	79 
A,50-249,TOTAL,EUR,ES	280 	453 b	547 	235 
A,50-249,TOTAL,EUR,EU27_2020	389 	478 	485 	435 
A,50-249,TOTAL,EUR,EU28	393 	460 b	472 	: 
A,50-249,TOTAL,EUR,FI	484 	479 b	490 	322 
A,50-249,TOTAL,EUR,FR	800 	867 	867 	813 
A,50-249,TOTAL,EUR,HR	: 	236 	267 	142 
A,50-249,TOTAL,EUR,HU	128 	185 b	152 	240 b
A,50-249,TOTAL,EUR,IE	799 	: 	781 	857 
A,50-249,TOTAL,EUR,IT	352 	370 	478 	618 
A,50-249,TOTAL,EUR,LT	45 	79 b	101 	120 
A,50-249,TOTAL,EUR,LU	694 	855 b	1171 	861 
A,50-249,TOTAL,EUR,LV	: 	56 	96 	84 
A,50-249,TOTAL,EUR,MK	: 	: 	90 	47 
A,50-249,TOTAL,EUR,MT	193 	265 b	451 	226 
A,50-249,TOTAL,EUR,NL	479 u	747 b	840 	846 
A,50-249,TOTAL,EUR,NO	723 	1235 	905 	956 
A,50-249,TOTAL,EUR,PL	78 	75 b	86 	71 
A,50-249,TOTAL,EUR,PT	182 	431 b	230 	201 
A,50-249,TOTAL,EUR,RO	25 	: 	53 	56 
A,50-249,TOTAL,EUR,RS	: 	: 	: 	73 
A,50-249,TOTAL,EUR,SE	820 	838 b	920 b	753 b
A,50-249,TOTAL,EUR,SI	346 	464 b	632 	498 
A,50-249,TOTAL,EUR,SK	93 	237 b	211 	220 
A,50-249,TOTAL,EUR,UK	415 	314 b	383 	: 
A,50-249,TOTAL,PPS,AT	468 	675 b	602 	: 
A,50-249,TOTAL,PPS,BE	534 	964 	1355 	: 
A,50-249,TOTAL,PPS,BG	76 	108 b	204 	: 
A,50-249,TOTAL,PPS,CY	350 	369 	302 	: 
A,50-249,TOTAL,PPS,CZ	289 	221 b	340 bd	: 
A,50-249,TOTAL,PPS,DE	386 	447 b	420 	: 
A,50-249,TOTAL,PPS,DK	1049 u	742 b	689 	: 
A,50-249,TOTAL,PPS,EE	242 	222 b	411 	: 
A,50-249,TOTAL,PPS,EL	133 	137 b	238 	: 
A,50-249,TOTAL,PPS,ES	309 	476 b	619 	: 
A,50-249,TOTAL,PPS,EU27_2020	404 	484 	507 	: 
A,50-249,TOTAL,PPS,EU28	393 	460 b	472 	: 
A,50-249,TOTAL,PPS,FI	420 	407 b	406 	: 
A,50-249,TOTAL,PPS,FR	742 	777 	806 	: 
A,50-249,TOTAL,PPS,HR	: 	340 	435 	: 
A,50-249,TOTAL,PPS,HU	207 	309 b	266 	: 
A,50-249,TOTAL,PPS,IE	671 	: 	725 	: 
A,50-249,TOTAL,PPS,IT	350 	367 	486 	: 
A,50-249,TOTAL,PPS,LT	87 	134 b	170 	: 
A,50-249,TOTAL,PPS,LU	623 	707 b	998 	: 
A,50-249,TOTAL,PPS,LV	: 	87 	145 	: 
A,50-249,TOTAL,PPS,MK	: 	: 	214 	: 
A,50-249,TOTAL,PPS,MT	287 	354 b	565 	: 
A,50-249,TOTAL,PPS,NL	453 u	669 b	779 	: 
A,50-249,TOTAL,PPS,NO	546 	827 	613 	: 
A,50-249,TOTAL,PPS,PL	143 	127 b	154 	: 
A,50-249,TOTAL,PPS,PT	233 	530 b	296 	: 
A,50-249,TOTAL,PPS,RO	54 	: 	107 	: 
A,50-249,TOTAL,PPS,SE	683 	678 b	730 b	: 
A,50-249,TOTAL,PPS,SI	482 	556 b	798 	: 
A,50-249,TOTAL,PPS,SK	140 	362 b	322 	: 
A,50-249,TOTAL,PPS,UK	340 	294 b	302 	: 
A,50-249,TOTAL,PPS_EU27_2020,AT	451 	667 b	576 	461 
A,50-249,TOTAL,PPS_EU27_2020,BE	514 	953 	1296 	628 
A,50-249,TOTAL,PPS_EU27_2020,BG	73 	107 b	195 	111 
A,50-249,TOTAL,PPS_EU27_2020,CY	337 	365 	289 	257 
A,50-249,TOTAL,PPS_EU27_2020,CZ	279 	219 b	325 bd	199 b
A,50-249,TOTAL,PPS_EU27_2020,DE	372 	442 b	402 	355 
A,50-249,TOTAL,PPS_EU27_2020,DK	1011 u	734 b	659 	556 
A,50-249,TOTAL,PPS_EU27_2020,EE	233 	220 b	393 	414 
A,50-249,TOTAL,PPS_EU27_2020,EL	128 	136 b	228 	96 
A,50-249,TOTAL,PPS_EU27_2020,ES	298 	471 b	592 	251 
A,50-249,TOTAL,PPS_EU27_2020,EU27_2020	389 	478 	485 	435 
A,50-249,TOTAL,PPS_EU27_2020,EU28	378 	455 b	451 	: 
A,50-249,TOTAL,PPS_EU27_2020,FI	405 	403 b	388 	255 
A,50-249,TOTAL,PPS_EU27_2020,FR	715 	768 	771 	747 
A,50-249,TOTAL,PPS_EU27_2020,HR	: 	336 	416 	220 
A,50-249,TOTAL,PPS_EU27_2020,HU	199 	305 b	255 	379 b
A,50-249,TOTAL,PPS_EU27_2020,IE	647 	: 	694 	715 
A,50-249,TOTAL,PPS_EU27_2020,IT	337 	363 	465 	622 
A,50-249,TOTAL,PPS_EU27_2020,LT	84 	133 b	162 	177 
A,50-249,TOTAL,PPS_EU27_2020,LU	600 	699 b	955 	665 
A,50-249,TOTAL,PPS_EU27_2020,LV	: 	86 	139 	114 
A,50-249,TOTAL,PPS_EU27_2020,MK	: 	: 	204 	102 
A,50-249,TOTAL,PPS_EU27_2020,MT	277 	350 b	541 	258 
A,50-249,TOTAL,PPS_EU27_2020,NL	437 u	662 b	746 	730 
A,50-249,TOTAL,PPS_EU27_2020,NO	526 	818 	586 	677 
A,50-249,TOTAL,PPS_EU27_2020,PL	137 	126 b	147 	117 
A,50-249,TOTAL,PPS_EU27_2020,PT	224 	524 b	283 	236 
A,50-249,TOTAL,PPS_EU27_2020,RO	52 	: 	102 	105 
A,50-249,TOTAL,PPS_EU27_2020,RS	: 	: 	: 	137 
A,50-249,TOTAL,PPS_EU27_2020,SE	658 	671 b	698 b	603 b
A,50-249,TOTAL,PPS_EU27_2020,SI	465 	550 b	763 	592 
