freq,size_emp,cost,unit,geo\TIME_PERIOD	2005 	2010 	2015 	2020 
A,50-249,TOTAL,PPS_EU27_2020,SK	135 	358 b	308 	274 
A,50-249,TOTAL,PPS_EU27_2020,UK	328 	291 b	289 	: 
A,GE250,DIR,EUR,AT	461 	505 b	296 	199 
A,GE250,DIR,EUR,BE	374 	615 	643 	359 
A,GE250,DIR,EUR,BG	23 	40 b	61 	39 
A,GE250,DIR,EUR,CY	179 	256 	136 	135 
A,GE250,DIR,EUR,CZ	115 	126 b	134 bd	109 b
A,GE250,DIR,EUR,DE	305 	386 b	461 	498 
A,GE250,DIR,EUR,DK	606 u	374 b	1137 	192 
A,GE250,DIR,EUR,EE	78 	73 b	159 	88 
A,GE250,DIR,EUR,EL	122 	145 b	119 	72 
A,GE250,DIR,EUR,ES	204 	235 b	237 	125 
A,GE250,DIR,EUR,EU27_2020	299 	357 	351 	324 
A,GE250,DIR,EUR,EU28	287 	318 b	312 	: 
A,GE250,DIR,EUR,FI	294 	364 b	322 	170 
A,GE250,DIR,EUR,FR	461 	577 	439 	455 
A,GE250,DIR,EUR,HR	: 	87 	129 	125 
A,GE250,DIR,EUR,HU	133 	166 b	120 	108 b
A,GE250,DIR,EUR,IE	658 	: 	477 	292 
A,GE250,DIR,EUR,IT	231 	185 	216 	241 
A,GE250,DIR,EUR,LT	60 	54 b	82 	62 
A,GE250,DIR,EUR,LU	616 	453 b	655 	356 
A,GE250,DIR,EUR,LV	: 	55 	63 	61 
A,GE250,DIR,EUR,MK	: 	: 	45 	37 
A,GE250,DIR,EUR,MT	285 	285 b	221 	208 
A,GE250,DIR,EUR,NL	630 u	582 b	528 	627 
A,GE250,DIR,EUR,NO	322 	376 	691 	793 
A,GE250,DIR,EUR,PL	81 	103 b	109 	59 
A,GE250,DIR,EUR,PT	145 	241 b	150 	68 
A,GE250,DIR,EUR,RO	44 	: 	44 	32 
A,GE250,DIR,EUR,RS	: 	: 	: 	28 
A,GE250,DIR,EUR,SE	419 	434 b	401 b	397 b
A,GE250,DIR,EUR,SI	251 	232 b	209 	146 
A,GE250,DIR,EUR,SK	113 	138 b	132 	137 
A,GE250,DIR,EUR,UK	236 	146 b	162 	: 
A,GE250,DIR,PPS,AT	445 	459 b	279 	: 
A,GE250,DIR,PPS,BE	356 	562 	604 	: 
A,GE250,DIR,PPS,BG	65 	88 b	133 	: 
A,GE250,DIR,PPS,CY	210 	280 	154 	: 
A,GE250,DIR,PPS,CZ	200 	178 b	212 bd	: 
A,GE250,DIR,PPS,DE	297 	367 b	445 	: 
A,GE250,DIR,PPS,DK	448 u	281 b	872 	: 
A,GE250,DIR,PPS,EE	131 	109 b	222 	: 
A,GE250,DIR,PPS,EL	147 	154 b	147 	: 
A,GE250,DIR,PPS,ES	225 	247 b	268 	: 
A,GE250,DIR,PPS,EU27_2020	311 	361 	367 	: 
A,GE250,DIR,PPS,EU28	287 	318 b	312 	: 
A,GE250,DIR,PPS,FI	255 	309 b	266 	: 
A,GE250,DIR,PPS,FR	427 	516 	408 	: 
A,GE250,DIR,PPS,HR	: 	125 	211 	: 
A,GE250,DIR,PPS,HU	214 	276 b	211 	: 
A,GE250,DIR,PPS,IE	553 	: 	443 	: 
A,GE250,DIR,PPS,IT	230 	183 	220 	: 
A,GE250,DIR,PPS,LT	117 	91 b	139 	: 
A,GE250,DIR,PPS,LU	553 	374 b	559 	: 
A,GE250,DIR,PPS,LV	: 	86 	96 	: 
A,GE250,DIR,PPS,MK	: 	: 	108 	: 
A,GE250,DIR,PPS,MT	423 	381 b	277 	: 
A,GE250,DIR,PPS,NL	596 u	521 b	490 	: 
A,GE250,DIR,PPS,NO	243 	252 	468 	: 
A,GE250,DIR,PPS,PL	149 	174 b	195 	: 
A,GE250,DIR,PPS,PT	185 	296 b	192 	: 
A,GE250,DIR,PPS,RO	96 	: 	88 	: 
A,GE250,DIR,PPS,SE	349 	351 b	318 b	: 
A,GE250,DIR,PPS,SI	349 	278 b	264 	: 
A,GE250,DIR,PPS,SK	170 	211 b	201 	: 
A,GE250,DIR,PPS,UK	194 	137 b	128 	: 
A,GE250,DIR,PPS_EU27_2020,AT	428 	454 b	267 	174 
A,GE250,DIR,PPS_EU27_2020,BE	343 	556 	577 	322 
A,GE250,DIR,PPS_EU27_2020,BG	63 	87 b	127 	72 
A,GE250,DIR,PPS_EU27_2020,CY	203 	277 	147 	147 
A,GE250,DIR,PPS_EU27_2020,CZ	193 	176 b	203 bd	151 b
A,GE250,DIR,PPS_EU27_2020,DE	287 	363 b	426 	450 
A,GE250,DIR,PPS_EU27_2020,DK	431 u	278 b	835 	144 
A,GE250,DIR,PPS_EU27_2020,EE	127 	108 b	213 	110 
A,GE250,DIR,PPS_EU27_2020,EL	141 	152 b	141 	87 
A,GE250,DIR,PPS_EU27_2020,ES	217 	245 b	256 	133 
A,GE250,DIR,PPS_EU27_2020,EU27_2020	299 	357 	351 	324 
A,GE250,DIR,PPS_EU27_2020,EU28	277 	314 b	299 	: 
A,GE250,DIR,PPS_EU27_2020,FI	245 	306 b	255 	135 
A,GE250,DIR,PPS_EU27_2020,FR	412 	511 	390 	418 
A,GE250,DIR,PPS_EU27_2020,HR	: 	124 	201 	194 
A,GE250,DIR,PPS_EU27_2020,HU	206 	273 b	202 	171 b
A,GE250,DIR,PPS_EU27_2020,IE	533 	: 	424 	244 
A,GE250,DIR,PPS_EU27_2020,IT	221 	181 	210 	242 
A,GE250,DIR,PPS_EU27_2020,LT	113 	90 b	133 	90 
A,GE250,DIR,PPS_EU27_2020,LU	533 	370 b	534 	276 
A,GE250,DIR,PPS_EU27_2020,LV	: 	85 	92 	83 
A,GE250,DIR,PPS_EU27_2020,MK	: 	: 	103 	81 
A,GE250,DIR,PPS_EU27_2020,MT	407 	377 b	265 	237 
A,GE250,DIR,PPS_EU27_2020,NL	575 u	515 b	469 	542 
A,GE250,DIR,PPS_EU27_2020,NO	234 	249 	447 	561 
A,GE250,DIR,PPS_EU27_2020,PL	144 	173 b	187 	98 
A,GE250,DIR,PPS_EU27_2020,PT	178 	293 b	184 	80 
A,GE250,DIR,PPS_EU27_2020,RO	92 	: 	84 	60 
A,GE250,DIR,PPS_EU27_2020,RS	: 	: 	: 	53 
A,GE250,DIR,PPS_EU27_2020,SE	336 	348 b	304 b	318 b
A,GE250,DIR,PPS_EU27_2020,SI	336 	275 b	253 	174 
A,GE250,DIR,PPS_EU27_2020,SK	164 	208 b	192 	171 
A,GE250,DIR,PPS_EU27_2020,UK	187 	135 b	122 	: 
A,GE250,LCP,EUR,AT	361 	371 	446 	310 
A,GE250,LCP,EUR,BE	680 	995 	1017 	619 
A,GE250,LCP,EUR,BG	17 	37 	69 	83 
A,GE250,LCP,EUR,CY	195 	380 	220 	463 
A,GE250,LCP,EUR,CZ	143 	131 	171 bd	179 b
A,GE250,LCP,EUR,DE	334 	382 	430 	680 
A,GE250,LCP,EUR,DK	483 	516 	1068 	388 
A,GE250,LCP,EUR,EE	50 	139 	255 	237 
A,GE250,LCP,EUR,EL	107 	151 	240 	94 
A,GE250,LCP,EUR,ES	299 	370 	452 	367 
A,GE250,LCP,EUR,EU27_2020	338 	391 	451 	473 
A,GE250,LCP,EUR,EU28	291 	335 	373 	: 
A,GE250,LCP,EUR,FI	301 	336 	342 	240 
A,GE250,LCP,EUR,FR	500 	515 	748 	506 
A,GE250,LCP,EUR,HR	: 	92 	150 	95 
A,GE250,LCP,EUR,HU	97 	118 	100 	108 b
A,GE250,LCP,EUR,IE	401 	: 	714 	1262 
A,GE250,LCP,EUR,IT	423 	528 	526 	582 
A,GE250,LCP,EUR,LT	43 	47 	61 	96 
A,GE250,LCP,EUR,LU	853 	934 	973 	905 
A,GE250,LCP,EUR,LV	: 	78 	97 	73 
A,GE250,LCP,EUR,MK	: 	: 	70 	43 
A,GE250,LCP,EUR,MT	214 	306 	306 	181 
A,GE250,LCP,EUR,NL	473 	483 	468 	640 
A,GE250,LCP,EUR,NO	379 	569 	585 	658 
A,GE250,LCP,EUR,PL	77 	117 	151 	107 
A,GE250,LCP,EUR,PT	199 	382 	253 	227 
A,GE250,LCP,EUR,RO	30 	: 	90 	107 
A,GE250,LCP,EUR,RS	: 	: 	: 	55 
A,GE250,LCP,EUR,SE	737 	361 	505 b	508 b
A,GE250,LCP,EUR,SI	257 	281 	668 	301 
A,GE250,LCP,EUR,SK	118 	173 	185 	168 
A,GE250,LCP,EUR,UK	88 	90 	67 	: 
A,GE250,LCP,PPS,AT	348 	337 	420 	: 
A,GE250,LCP,PPS,BE	648 	910 	955 	: 
A,GE250,LCP,PPS,BG	49 	82 	149 	: 
A,GE250,LCP,PPS,CY	229 	415 	250 	: 
A,GE250,LCP,PPS,CZ	249 	185 	270 bd	: 
A,GE250,LCP,PPS,DE	325 	363 	415 	: 
A,GE250,LCP,PPS,DK	357 	388 	820 	: 
A,GE250,LCP,PPS,EE	84 	208 	357 	: 
A,GE250,LCP,PPS,EL	129 	160 	296 	: 
A,GE250,LCP,PPS,ES	331 	389 	511 	: 
A,GE250,LCP,PPS,EU27_2020	351 	395 	472 	: 
A,GE250,LCP,PPS,EU28	291 	335 	373 	: 
A,GE250,LCP,PPS,FI	261 	285 	284 	: 
A,GE250,LCP,PPS,FR	463 	461 	695 	: 
A,GE250,LCP,PPS,HR	: 	132 	245 	: 
A,GE250,LCP,PPS,HU	157 	197 	176 	: 
A,GE250,LCP,PPS,IE	337 	: 	663 	: 
A,GE250,LCP,PPS,IT	421 	523 	535 	: 
A,GE250,LCP,PPS,LT	85 	81 	102 	: 
A,GE250,LCP,PPS,LU	766 	772 	830 	: 
A,GE250,LCP,PPS,LV	: 	123 	146 	: 
A,GE250,LCP,PPS,MK	: 	: 	166 	: 
A,GE250,LCP,PPS,MT	317 	410 	384 	: 
A,GE250,LCP,PPS,NL	448 	433 	434 	: 
A,GE250,LCP,PPS,NO	287 	381 	396 	: 
A,GE250,LCP,PPS,PL	140 	199 	269 	: 
A,GE250,LCP,PPS,PT	254 	470 	326 	: 
A,GE250,LCP,PPS,RO	66 	: 	181 	: 
A,GE250,LCP,PPS,SE	614 	292 	401 b	: 
A,GE250,LCP,PPS,SI	358 	338 	843 	: 
A,GE250,LCP,PPS,SK	178 	263 	283 	: 
A,GE250,LCP,PPS,UK	73 	84 	53 	: 
A,GE250,LCP,PPS_EU27_2020,AT	335 	334 	402 	272 
A,GE250,LCP,PPS_EU27_2020,BE	625 	900 	914 	555 
A,GE250,LCP,PPS_EU27_2020,BG	47 	81 	142 	155 
A,GE250,LCP,PPS_EU27_2020,CY	220 	410 	239 	505 
A,GE250,LCP,PPS_EU27_2020,CZ	240 	183 	259 bd	247 b
A,GE250,LCP,PPS_EU27_2020,DE	313 	359 	397 	616 
A,GE250,LCP,PPS_EU27_2020,DK	344 	384 	784 	291 
A,GE250,LCP,PPS_EU27_2020,EE	81 	206 	342 	295 
A,GE250,LCP,PPS_EU27_2020,EL	124 	158 	283 	114 
A,GE250,LCP,PPS_EU27_2020,ES	319 	385 	488 	391 
A,GE250,LCP,PPS_EU27_2020,EU27_2020	338 	391 	451 	473 
A,GE250,LCP,PPS_EU27_2020,EU28	280 	331 	356 	: 
A,GE250,LCP,PPS_EU27_2020,FI	251 	282 	271 	190 
A,GE250,LCP,PPS_EU27_2020,FR	446 	456 	665 	465 
A,GE250,LCP,PPS_EU27_2020,HR	: 	131 	234 	147 
A,GE250,LCP,PPS_EU27_2020,HU	151 	195 	168 	171 b
A,GE250,LCP,PPS_EU27_2020,IE	325 	: 	634 	1053 
A,GE250,LCP,PPS_EU27_2020,IT	405 	517 	511 	586 
A,GE250,LCP,PPS_EU27_2020,LT	82 	80 	98 	140 
A,GE250,LCP,PPS_EU27_2020,LU	738 	764 	794 	700 
A,GE250,LCP,PPS_EU27_2020,LV	: 	122 	140 	99 
A,GE250,LCP,PPS_EU27_2020,MK	: 	: 	158 	93 
A,GE250,LCP,PPS_EU27_2020,MT	305 	405 	367 	206 
A,GE250,LCP,PPS_EU27_2020,NL	431 	428 	415 	552 
A,GE250,LCP,PPS_EU27_2020,NO	276 	377 	379 	466 
A,GE250,LCP,PPS_EU27_2020,PL	135 	197 	257 	177 
A,GE250,LCP,PPS_EU27_2020,PT	245 	464 	311 	267 
A,GE250,LCP,PPS_EU27_2020,RO	64 	: 	173 	202 
A,GE250,LCP,PPS_EU27_2020,RS	: 	: 	: 	103 
A,GE250,LCP,PPS_EU27_2020,SE	591 	289 	384 b	407 b
A,GE250,LCP,PPS_EU27_2020,SI	345 	334 	807 	358 
A,GE250,LCP,PPS_EU27_2020,SK	172 	260 	271 	208 
A,GE250,LCP,PPS_EU27_2020,UK	70 	84 	50 	: 
A,GE250,NET,EUR,AT	-4 	-32 b	-2 	3 
A,GE250,NET,EUR,BE	34 	14 	36 	11 
A,GE250,NET,EUR,BG	0 	-4 b	0 	-1 
A,GE250,NET,EUR,CY	59 	82 	85 	28 
A,GE250,NET,EUR,CZ	-2 	-16 b	-9 bd	-3 b
A,GE250,NET,EUR,DE	0 	-1 b	2 	6 
A,GE250,NET,EUR,DK	17 u	5 b	465 	-10 
A,GE250,NET,EUR,EE	-1 	-5 b	0 	-1 
A,GE250,NET,EUR,EL	-46 	55 b	61 	1 
A,GE250,NET,EUR,ES	44 	102 b	105 	-35 
A,GE250,NET,EUR,EU27_2020	44 	49 	75 	61 
A,GE250,NET,EUR,EU28	43 	41 b	64 	: 
A,GE250,NET,EUR,FI	7 	0 b	-37 	-29 
A,GE250,NET,EUR,FR	210 	226 	391 	367 
A,GE250,NET,EUR,HR	: 	-2 	-2 	-4 
A,GE250,NET,EUR,HU	64 	85 b	119 	-15 b
A,GE250,NET,EUR,IE	-4 	: 	-4 	13 
A,GE250,NET,EUR,IT	86 	16 	44 	72 
A,GE250,NET,EUR,LT	-1 	-2 b	3 	-6 
A,GE250,NET,EUR,LU	-129 	-182 b	-238 	-95 
A,GE250,NET,EUR,LV	: 	-2 	-3 	-1 
A,GE250,NET,EUR,MK	: 	: 	0 	1 
A,GE250,NET,EUR,MT	-60 	8 b	19 	-5 
A,GE250,NET,EUR,NL	-34 u	8 b	1 	-1 
A,GE250,NET,EUR,NO	39 	11 	3 	4 
A,GE250,NET,EUR,PL	0 	-14 b	-1 	-1 
A,GE250,NET,EUR,PT	-10 	-14 b	-2 	-1 
A,GE250,NET,EUR,RO	0 	: 	0 	0 
A,GE250,NET,EUR,RS	: 	: 	: 	0 
A,GE250,NET,EUR,SE	0 	1 b	0 b	-3 b
A,GE250,NET,EUR,SI	-70 	-7 b	-3 	-7 
A,GE250,NET,EUR,SK	-17 	-1 b	0 	-1 
A,GE250,NET,EUR,UK	43 	8 b	18 	: 
A,GE250,NET,PPS,AT	-4 	-29 b	-2 	: 
A,GE250,NET,PPS,BE	32 	13 	34 	: 
A,GE250,NET,PPS,BG	0 	-9 b	0 	: 
A,GE250,NET,PPS,CY	70 	90 	97 	: 
A,GE250,NET,PPS,CZ	-4 	-22 b	-14 bd	: 
A,GE250,NET,PPS,DE	0 	-1 b	2 	: 
A,GE250,NET,PPS,DK	13 u	3 b	357 	: 
A,GE250,NET,PPS,EE	-2 	-8 b	0 	: 
A,GE250,NET,PPS,EL	-55 	58 b	75 	: 
A,GE250,NET,PPS,ES	49 	108 b	119 	: 
A,GE250,NET,PPS,EU27_2020	45 	50 	79 	: 
A,GE250,NET,PPS,EU28	43 	41 b	64 	: 
A,GE250,NET,PPS,FI	6 	0 b	-30 	: 
A,GE250,NET,PPS,FR	195 	203 	363 	: 
A,GE250,NET,PPS,HR	: 	-4 	-3 	: 
A,GE250,NET,PPS,HU	103 	142 b	209 	: 
A,GE250,NET,PPS,IE	-4 	: 	-4 	: 
A,GE250,NET,PPS,IT	85 	16 	44 	: 
A,GE250,NET,PPS,LT	-2 	-3 b	4 	: 
A,GE250,NET,PPS,LU	-116 	-150 b	-203 	: 
A,GE250,NET,PPS,LV	: 	-2 	-5 	: 
A,GE250,NET,PPS,MK	: 	: 	1 	: 
A,GE250,NET,PPS,MT	-89 	11 b	24 	: 
A,GE250,NET,PPS,NL	-32 u	7 b	1 	: 
A,GE250,NET,PPS,NO	29 	8 	2 	: 
A,GE250,NET,PPS,PL	-1 	-24 b	-1 	: 
A,GE250,NET,PPS,PT	-12 	-17 b	-3 	: 
A,GE250,NET,PPS,RO	0 	: 	0 	: 
A,GE250,NET,PPS,SE	0 	1 b	0 b	: 
A,GE250,NET,PPS,SI	-97 	-8 b	-4 	: 
A,GE250,NET,PPS,SK	-25 	-1 b	0 	: 
A,GE250,NET,PPS,UK	35 	7 b	14 	: 
A,GE250,NET,PPS_EU27_2020,AT	-4 	-29 b	-2 	3 
A,GE250,NET,PPS_EU27_2020,BE	31 	12 	32 	10 
A,GE250,NET,PPS_EU27_2020,BG	0 	-9 b	0 	-1 
A,GE250,NET,PPS_EU27_2020,CY	67 	89 	93 	31 
A,GE250,NET,PPS_EU27_2020,CZ	-4 	-22 b	-14 bd	-4 b
A,GE250,NET,PPS_EU27_2020,DE	0 	-1 b	2 	5 
A,GE250,NET,PPS_EU27_2020,DK	12 u	3 b	341 	-8 
A,GE250,NET,PPS_EU27_2020,EE	-2 	-8 b	0 	-1 
A,GE250,NET,PPS_EU27_2020,EL	-53 	57 b	72 	2 
A,GE250,NET,PPS_EU27_2020,ES	47 	107 b	114 	-37 
A,GE250,NET,PPS_EU27_2020,EU27_2020	44 	49 	75 	61 
A,GE250,NET,PPS_EU27_2020,EU28	42 	41 b	61 	: 
A,GE250,NET,PPS_EU27_2020,FI	6 	0 b	-29 	-23 
A,GE250,NET,PPS_EU27_2020,FR	188 	200 	347 	337 
A,GE250,NET,PPS_EU27_2020,HR	: 	-4 	-2 	-6 
A,GE250,NET,PPS_EU27_2020,HU	99 	141 b	200 	-24 b
A,GE250,NET,PPS_EU27_2020,IE	-4 	: 	-4 	11 
A,GE250,NET,PPS_EU27_2020,IT	82 	16 	42 	72 
A,GE250,NET,PPS_EU27_2020,LT	-2 	-3 b	4 	-9 
A,GE250,NET,PPS_EU27_2020,LU	-112 	-149 b	-194 	-73 
A,GE250,NET,PPS_EU27_2020,LV	: 	-2 	-4 	-1 
A,GE250,NET,PPS_EU27_2020,MK	: 	: 	1 	1 
A,GE250,NET,PPS_EU27_2020,MT	-86 	10 b	23 	-5 
A,GE250,NET,PPS_EU27_2020,NL	-31 u	7 b	1 	-1 
A,GE250,NET,PPS_EU27_2020,NO	28 	8 	2 	3 
A,GE250,NET,PPS_EU27_2020,PL	-1 	-24 b	-1 	-2 
A,GE250,NET,PPS_EU27_2020,PT	-12 	-17 b	-3 	-1 
A,GE250,NET,PPS_EU27_2020,RO	0 	: 	0 	0 
A,GE250,NET,PPS_EU27_2020,RS	: 	: 	: 	0 
A,GE250,NET,PPS_EU27_2020,SE	0 	1 b	0 b	-2 b
A,GE250,NET,PPS_EU27_2020,SI	-94 	-8 b	-4 	-8 
A,GE250,NET,PPS_EU27_2020,SK	-24 	-1 b	0 	-1 
A,GE250,NET,PPS_EU27_2020,UK	34 	7 b	13 	: 
A,GE250,TOTAL,EUR,AT	818 	844 b	741 	512 
A,GE250,TOTAL,EUR,BE	1088 	1624 	1695 	990 
A,GE250,TOTAL,EUR,BG	41 	73 b	130 	121 
A,GE250,TOTAL,EUR,CY	433 	718 	441 	626 
A,GE250,TOTAL,EUR,CZ	256 	241 b	295 bd	285 b
A,GE250,TOTAL,EUR,DE	639 	767 b	893 	1184 
A,GE250,TOTAL,EUR,DK	1106 u	895 b	2670 	569 
A,GE250,TOTAL,EUR,EE	127 	207 b	414 	324 
A,GE250,TOTAL,EUR,EL	184 	351 b	420 	167 
A,GE250,TOTAL,EUR,ES	547 	707 b	794 	458 
A,GE250,TOTAL,EUR,EU27_2020	681 	797 	878 	858 
A,GE250,TOTAL,EUR,EU28	622 	694 b	749 	: 
A,GE250,TOTAL,EUR,FI	602 	700 b	628 	381 
A,GE250,TOTAL,EUR,FR	1170 	1318 	1577 	1328 
A,GE250,TOTAL,EUR,HR	: 	176 	278 	216 
A,GE250,TOTAL,EUR,HU	294 	369 b	339 	201 b
A,GE250,TOTAL,EUR,IE	1055 	: 	1187 	1568 
A,GE250,TOTAL,EUR,IT	741 	729 	785 	894 
A,GE250,TOTAL,EUR,LT	103 	99 b	146 	151 
A,GE250,TOTAL,EUR,LU	1340 	1205 b	1390 	1167 
A,GE250,TOTAL,EUR,LV	: 	131 	157 	133 
A,GE250,TOTAL,EUR,MK	: 	: 	115 	80 
A,GE250,TOTAL,EUR,MT	438 	599 b	546 	384 
A,GE250,TOTAL,EUR,NL	1068 u	1072 b	996 	1266 
A,GE250,TOTAL,EUR,NO	739 	957 	1279 	1454 
A,GE250,TOTAL,EUR,PL	158 	206 b	260 	165 
A,GE250,TOTAL,EUR,PT	334 	610 b	401 	294 
A,GE250,TOTAL,EUR,RO	74 	: 	134 	139 
A,GE250,TOTAL,EUR,RS	: 	: 	: 	83 
A,GE250,TOTAL,EUR,SE	1157 	797 b	906 b	902 b
A,GE250,TOTAL,EUR,SI	438 	507 b	874 	440 
A,GE250,TOTAL,EUR,SK	215 	310 b	317 	304 
A,GE250,TOTAL,EUR,UK	368 	244 b	247 	: 
A,GE250,TOTAL,PPS,AT	788 	767 b	697 	: 
A,GE250,TOTAL,PPS,BE	1037 	1485 	1593 	: 
A,GE250,TOTAL,PPS,BG	114 	161 b	282 	: 
A,GE250,TOTAL,PPS,CY	509 	785 	500 	: 
A,GE250,TOTAL,PPS,CZ	445 	341 b	468 bd	: 
A,GE250,TOTAL,PPS,DE	622 	729 b	863 	: 
A,GE250,TOTAL,PPS,DK	817 u	672 b	2049 	: 
A,GE250,TOTAL,PPS,EE	214 	309 b	579 	: 
A,GE250,TOTAL,PPS,EL	220 	372 b	519 	: 
A,GE250,TOTAL,PPS,ES	604 	745 b	897 	: 
A,GE250,TOTAL,PPS,EU27_2020	707 	806 	917 	: 
A,GE250,TOTAL,PPS,EU28	622 	694 b	749 	: 
A,GE250,TOTAL,PPS,FI	522 	595 b	520 	: 
A,GE250,TOTAL,PPS,FR	1085 	1180 	1466 	: 
A,GE250,TOTAL,PPS,HR	: 	253 	453 	: 
A,GE250,TOTAL,PPS,HU	474 	616 b	596 	: 
A,GE250,TOTAL,PPS,IE	886 	: 	1102 	: 
A,GE250,TOTAL,PPS,IT	736 	722 	799 	: 
A,GE250,TOTAL,PPS,LT	200 	168 b	245 	: 
A,GE250,TOTAL,PPS,LU	1203 	996 b	1185 	: 
A,GE250,TOTAL,PPS,LV	: 	207 	237 	: 
A,GE250,TOTAL,PPS,MK	: 	: 	274 	: 
A,GE250,TOTAL,PPS,MT	650 	801 b	684 	: 
A,GE250,TOTAL,PPS,NL	1012 u	961 b	924 	: 
A,GE250,TOTAL,PPS,NO	559 	640 	866 	: 
A,GE250,TOTAL,PPS,PL	289 	349 b	463 	: 
A,GE250,TOTAL,PPS,PT	427 	749 b	515 	: 
A,GE250,TOTAL,PPS,RO	162 	: 	269 	: 
A,GE250,TOTAL,PPS,SE	963 	644 b	719 b	: 
A,GE250,TOTAL,PPS,SI	610 	608 b	1104 	: 
A,GE250,TOTAL,PPS,SK	323 	473 b	484 	: 
A,GE250,TOTAL,PPS,UK	302 	228 b	194 	: 
A,GE250,TOTAL,PPS_EU27_2020,AT	760 	759 b	667 	448 
A,GE250,TOTAL,PPS_EU27_2020,BE	999 	1469 	1524 	887 
A,GE250,TOTAL,PPS_EU27_2020,BG	109 	159 b	270 	225 
A,GE250,TOTAL,PPS_EU27_2020,CY	490 	776 	478 	683 
A,GE250,TOTAL,PPS_EU27_2020,CZ	429 	337 b	448 bd	394 b
A,GE250,TOTAL,PPS_EU27_2020,DE	600 	721 b	825 	1071 
A,GE250,TOTAL,PPS_EU27_2020,DK	787 u	665 b	1960 	427 
A,GE250,TOTAL,PPS_EU27_2020,EE	206 	306 b	554 	403 
A,GE250,TOTAL,PPS_EU27_2020,EL	212 	368 b	496 	202 
A,GE250,TOTAL,PPS_EU27_2020,ES	582 	736 b	858 	487 
A,GE250,TOTAL,PPS_EU27_2020,EU27_2020	681 	797 	878 	858 
A,GE250,TOTAL,PPS_EU27_2020,EU28	599 	687 b	716 	: 
A,GE250,TOTAL,PPS_EU27_2020,FI	503 	588 b	497 	301 
A,GE250,TOTAL,PPS_EU27_2020,FR	1046 	1167 	1402 	1220 
A,GE250,TOTAL,PPS_EU27_2020,HR	: 	251 	433 	335 
A,GE250,TOTAL,PPS_EU27_2020,HU	456 	609 b	570 	318 b
A,GE250,TOTAL,PPS_EU27_2020,IE	854 	: 	1054 	1308 
A,GE250,TOTAL,PPS_EU27_2020,IT	709 	714 	764 	900 
A,GE250,TOTAL,PPS_EU27_2020,LT	193 	166 b	235 	222 
A,GE250,TOTAL,PPS_EU27_2020,LU	1159 	985 b	1134 	902 
A,GE250,TOTAL,PPS_EU27_2020,LV	: 	204 	227 	181 
A,GE250,TOTAL,PPS_EU27_2020,MK	: 	: 	262 	175 
A,GE250,TOTAL,PPS_EU27_2020,MT	627 	792 b	655 	438 
A,GE250,TOTAL,PPS_EU27_2020,NL	975 u	950 b	884 	1093 
A,GE250,TOTAL,PPS_EU27_2020,NO	539 	634 	828 	1030 
A,GE250,TOTAL,PPS_EU27_2020,PL	278 	345 b	443 	273 
A,GE250,TOTAL,PPS_EU27_2020,PT	411 	741 b	493 	346 
A,GE250,TOTAL,PPS_EU27_2020,RO	157 	: 	257 	262 
A,GE250,TOTAL,PPS_EU27_2020,RS	: 	: 	: 	156 
A,GE250,TOTAL,PPS_EU27_2020,SE	928 	637 b	688 b	722 b
A,GE250,TOTAL,PPS_EU27_2020,SI	588 	601 b	1056 	523 
